state_abbr,party,candidate,mean_share,poll_count,raw_weight,weight,state_name
GA,REP,Other,42.95703826321665,5,3387.5669339965157,0.4295703826321665,Georgia
GA,REP,Mike Collins,32.087254479606266,5,2530.3821369575585,0.32087254479606264,Georgia
GA,REP,Buddy Carter,13.683058361011392,5,1079.037986177864,0.1368305836101139,Georgia
GA,REP,Derek Dooley,11.272648896165695,5,888.9545043868154,0.11272648896165693,Georgia
MA,DEM,Ed Markey,41.091546611862746,4,1166.4358703254584,0.41091546611862756,Massachusetts
MA,DEM,Seth Moulton,25.62863212988987,4,727.5013546228735,0.2562863212988987,Massachusetts
MA,DEM,Andrea Campbell/Other,42.0,1,519.8794187916732,0.18314465384081133,Massachusetts
MA,DEM,Other,26.53708083466868,4,424.81068110427094,0.14965355874166245,Massachusetts
ME,DEM,Natasha Platner,50.88106161884888,5,3990.681747204975,0.5088106161884888,Maine
ME,DEM,Janet Mills,33.210474565401334,5,2604.749791916008,0.3321047456540133,Maine
ME,DEM,Other,15.908463815749801,5,1247.7258562558236,0.159084638157498,Maine
MI,DEM,Other,31.9807450397712,4,1197.4588359423558,0.319807450397712,Michigan
MI,DEM,Haley Stevens,24.024860131837023,4,899.5656921491562,0.24024860131837025,Michigan
MI,DEM,Mallory McMorrow,24.024720628409998,4,899.5604687057646,0.24024720628409998,Michigan
MI,DEM,Abdul El-Sayed,19.969674199981768,4,747.7268835332093,0.19969674199981768,Michigan
NH,DEM,Chris Pappas,66.88538410792766,2,3308.6020110154354,0.6688538410792767,New Hampshire
NH,DEM,Other,30.320164912632315,2,1499.8397623370258,0.30320164912632314,New Hampshire
NH,DEM,Maura Sullivan,2.794450979440022,2,138.23238445248683,0.027944509794400222,New Hampshire
NH,REP,Chris Sununu,46.450040414465526,4,3532.4894367761162,0.4494648798378535,New Hampshire
NH,REP,Other,29.17018255056592,3,2155.466662938702,0.274256040107628,New Hampshire
NH,REP,Scott Brown,25.343498459143756,4,1991.8272731380894,0.2534349845914375,New Hampshire
NH,REP,Chuck Morse/Innis/Other,38.196413612644164,2,179.53911314528108,0.02284409546308092,New Hampshire
TX,REP,Ken Paxton,46.551089969366814,5,5622.068217943074,0.4655108996936682,Texas
TX,REP,John Cornyn,40.95037772246005,5,4945.659000846339,0.4095037772246005,Texas
TX,REP,Other,12.498532308173141,5,1509.4727385965584,0.12498532308173142,Texas
