field_dates,end_date,sample_size,population,pollster,pct_a,pct_b,margin_a,label_a,label_b,topline_source,metadata_source,notes,published_date,start_date,date_exact,sample_exact,population_exact,partisan_flag,date_inferred,sample_inferred,population_inferred,pollster_key,obs_date
Mar 22 – 24,2026-03-24,3003,RV,Big Data Poll,42.3,55.7,-13.4,Approve,Disapprove,ddhq_visible_seed,field_dates_seed,Visible row from DDHQ approval page as of 2026-04-01.,2026-03-24,2026-03-24,True,True,True,False,False,False,False,big data poll,2026-03-24
Mar 20 – 25,2026-03-25,1000,ADULTS,University of Massachusetts Department of Political Science / YouGov,33.0,62.0,-29.0,Approve,Disapprove,ddhq_visible_seed,field_dates_seed,Visible row from DDHQ approval page as of 2026-04-01.,2026-03-25,2026-03-25,True,True,True,False,False,False,False,university of massachusetts department of political science / yougov,2026-03-25
Mar 25 – 26,2026-03-26,2009,RV,Harris Poll / Harvard University Center for American Political Studies,43.0,53.0,-10.0,Approve,Disapprove,ddhq_visible_seed,field_dates_seed,Visible row from DDHQ approval page as of 2026-04-01.,2026-03-26,2026-03-26,True,True,True,False,False,False,False,harris poll / harvard university center for american political studies,2026-03-26
Mar 25 – 26,2026-03-26,1472,LV,Quantus Insights,42.2,56.6,-14.4,Approve,Disapprove,ddhq_visible_seed,field_dates_seed,Visible row from DDHQ approval page as of 2026-04-01.,2026-03-26,2026-03-26,True,True,True,False,False,False,False,quantus insights,2026-03-26
Mar 22 – 26,2026-03-26,1873,LV,Rasmussen Reports,44.0,55.0,-11.0,Approve,Disapprove,ddhq_visible_seed,field_dates_seed,Visible row from DDHQ approval page as of 2026-04-01.,2026-03-26,2026-03-26,True,True,True,False,False,False,False,rasmussen reports,2026-03-26
Mar 18 – 26,2026-03-26,3000,RV,RMG Research / Napolitan News Service,45.0,54.0,-9.0,Approve,Disapprove,ddhq_visible_seed,field_dates_seed,Visible row from DDHQ approval page as of 2026-04-01.,2026-03-26,2026-03-26,True,True,True,False,False,False,False,rmg research / napolitan news service,2026-03-26
Mar 27 – 29,2026-03-29,2203,RV,Morning Consult,43.0,54.0,-11.0,Approve,Disapprove,ddhq_visible_seed,field_dates_seed,Visible row from DDHQ approval page as of 2026-04-01.,2026-03-29,2026-03-29,True,True,True,False,False,False,False,morning consult,2026-03-29
Mar 26 – 30,2026-03-30,1201,ADULTS,SSRS / CNN,35.0,64.0,-29.0,Approve,Disapprove,ddhq_visible_seed,field_dates_seed,Visible row from DDHQ approval page as of 2026-04-01.,2026-03-30,2026-03-30,True,True,True,False,False,False,False,ssrs / cnn,2026-03-30
Mar 27 – 30,2026-03-30,1679,ADULTS,YouGov / The Economist,35.0,58.0,-23.0,Approve,Disapprove,ddhq_visible_seed,field_dates_seed,Visible row from DDHQ approval page as of 2026-04-01.,2026-03-30,2026-03-30,True,True,True,False,False,False,False,yougov / the economist,2026-03-30
Mar 27 – 30,2026-03-30,1505,RV,YouGov / The Economist,39.0,58.0,-19.0,Approve,Disapprove,ddhq_visible_seed,field_dates_seed,Visible row from DDHQ approval page as of 2026-04-01.,2026-03-30,2026-03-30,True,True,True,False,False,False,False,yougov / the economist,2026-03-30
